id,time,allocated,idle,other,total
108,2021-03-11 19:42:30,6791,6641,128,13560
109,2021-03-11 19:57:30,6760,6672,128,13560
110,2021-03-11 20:12:30,6895,6537,128,13560
111,2021-03-11 20:27:30,6897,6535,128,13560
112,2021-03-11 20:42:30,6879,6553,128,13560
113,2021-03-11 20:57:30,6808,6624,128,13560
114,2021-03-11 21:12:30,6876,6556,128,13560
115,2021-03-11 21:27:30,7124,6308,128,13560
116,2021-03-11 21:42:30,7615,5817,128,13560
117,2021-03-11 21:57:30,7345,6087,128,13560
118,2021-03-11 22:12:30,6967,6465,128,13560
119,2021-03-11 22:27:30,6891,6541,128,13560
120,2021-03-11 22:42:30,7026,6406,128,13560
121,2021-03-11 22:57:30,7107,6325,128,13560
122,2021-03-11 23:12:30,6837,6595,128,13560
123,2021-03-11 23:27:30,6776,6656,128,13560
124,2021-03-11 23:42:30,7070,6362,128,13560
125,2021-03-11 23:57:31,6693,6739,128,13560
126,2021-03-12 00:12:31,6531,6901,128,13560
127,2021-03-12 00:27:31,6616,6816,128,13560
128,2021-03-12 00:42:31,6509,6923,128,13560
129,2021-03-12 00:57:31,6331,7101,128,13560
130,2021-03-12 01:12:31,6120,7312,128,13560
131,2021-03-12 01:27:31,6364,7068,128,13560
132,2021-03-12 01:42:31,6200,7232,128,13560
133,2021-03-12 01:57:31,6000,7432,128,13560
134,2021-03-12 02:12:31,5783,7649,128,13560
135,2021-03-12 02:27:31,5588,7844,128,13560
136,2021-03-12 02:42:31,5699,7733,128,13560
137,2021-03-12 02:57:31,5795,7637,128,13560
138,2021-03-12 03:12:31,5829,7603,128,13560
139,2021-03-12 03:27:31,5848,7584,128,13560
140,2021-03-12 03:42:31,5877,7555,128,13560
141,2021-03-12 03:57:31,5816,7616,128,13560
142,2021-03-12 04:12:31,5819,7613,128,13560
143,2021-03-12 04:27:31,5678,7754,128,13560
144,2021-03-12 04:42:31,5687,7745,128,13560
145,2021-03-12 04:57:31,5686,7746,128,13560
146,2021-03-12 05:12:31,5658,7774,128,13560
147,2021-03-12 05:27:31,5654,7778,128,13560
148,2021-03-12 05:42:31,5610,7822,128,13560
149,2021-03-12 05:57:31,5694,7738,128,13560
150,2021-03-12 06:12:31,5698,7734,128,13560
151,2021-03-12 06:27:31,5602,7830,128,13560
152,2021-03-12 06:42:31,5569,7863,128,13560
153,2021-03-12 06:57:32,5522,7910,128,13560
154,2021-03-12 07:12:32,5381,8051,128,13560
155,2021-03-12 07:27:32,5311,8121,128,13560
156,2021-03-12 07:42:32,5453,7979,128,13560
157,2021-03-12 07:57:32,5448,7984,128,13560
158,2021-03-12 08:12:32,5439,7993,128,13560
159,2021-03-12 08:27:32,5427,8005,128,13560
160,2021-03-12 08:42:32,5457,7975,128,13560
161,2021-03-12 08:57:32,5867,7565,128,13560
162,2021-03-12 09:12:32,5846,7586,128,13560
163,2021-03-12 09:27:32,5806,7626,128,13560
164,2021-03-12 09:42:32,6160,7272,128,13560
165,2021-03-12 09:57:32,6071,7361,128,13560
166,2021-03-12 10:12:32,6033,7399,128,13560
167,2021-03-12 10:27:32,6222,7210,128,13560
168,2021-03-12 10:42:32,6374,7058,128,13560
169,2021-03-12 10:57:32,6288,7144,128,13560
170,2021-03-12 11:12:32,6026,7406,128,13560
171,2021-03-12 11:27:32,6235,7197,128,13560
172,2021-03-12 11:42:32,6185,7247,128,13560
173,2021-03-12 11:57:32,5932,7500,128,13560
174,2021-03-12 12:12:32,6001,7431,128,13560
175,2021-03-12 12:27:32,5941,7491,128,13560
176,2021-03-12 12:42:32,5985,7447,128,13560
177,2021-03-12 12:57:32,5944,7488,128,13560
178,2021-03-12 13:12:32,6112,7320,128,13560
179,2021-03-12 13:27:33,6526,6906,128,13560
180,2021-03-12 13:42:33,6379,7053,128,13560
181,2021-03-12 13:57:33,6355,7077,128,13560
182,2021-03-12 14:12:33,6537,6895,128,13560
183,2021-03-12 14:27:33,6401,7031,128,13560
184,2021-03-12 14:42:33,6272,7160,128,13560
185,2021-03-12 14:57:33,6422,7010,128,13560
186,2021-03-12 15:12:33,6590,6842,128,13560
187,2021-03-12 15:27:33,6757,6675,128,13560
188,2021-03-12 15:42:33,6583,6849,128,13560
189,2021-03-12 15:57:33,6488,6944,128,13560
190,2021-03-12 16:12:33,6994,6438,128,13560
191,2021-03-12 16:27:33,6623,6809,128,13560
192,2021-03-12 16:42:33,6750,6682,128,13560
193,2021-03-12 16:57:33,6868,6564,128,13560
194,2021-03-12 17:12:33,6928,6504,128,13560
195,2021-03-12 17:27:33,7103,6329,128,13560
196,2021-03-12 17:42:33,7071,6361,128,13560
197,2021-03-12 17:57:33,7211,6221,128,13560
198,2021-03-12 18:12:33,7032,6400,128,13560
199,2021-03-12 18:27:33,7195,6237,128,13560
200,2021-03-12 18:42:33,7188,6244,128,13560
201,2021-03-12 18:57:33,7236,6196,128,13560
